,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated_Duration,BounceRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep
23,0,0.0,0,0.0,15.0,0.0,0.0,0.8,2,4,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
25,0,0.0,0,0.0,156.0,0.0,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
26,4,64.6,0,0.0,1135.444444,0.002857143,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
28,0,0.0,0,0.0,63.0,0.0,0.0,0.2,2,6,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
29,1,6.0,1,0.0,1582.75,0.043478261,54.17976426,0.4,Other,2,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
30,0,0.0,0,0.0,35.0,0.0,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
31,0,0.0,0,0.0,78.0,0.0,0.0,0.0,Other,2,Other,6,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
32,0,0.0,0,0.0,209.5,0.0,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
33,0,0.0,0,0.0,183.6666667,0.04,0.0,0.0,Other,1,3,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
34,0,0.0,0,0.0,380.5,0.014285714,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
35,0,0.0,0,0.0,2086.242857,0.015384615,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
36,0,0.0,0,0.0,388.0,0.025,0.0,0.0,Other,2,1,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
37,2,18.0,0,0.0,298.0,0.0,0.0,0.8,2,2,Other,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
38,0,0.0,0,0.0,63.0,0.028571429,0.0,0.6,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
39,0,0.0,0,0.0,482.0,0.0,0.0,0.0,2,5,1,6,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
40,1,9.0,0,0.0,4084.393939,0.0,0.0,0.0,2,2,Other,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
41,0,0.0,0,0.0,22.0,0.0,0.0,0.6,Other,1,3,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
42,0,0.0,0,0.0,310.1666667,0.0,0.0,0.0,Other,1,Other,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
43,0,0.0,0,0.0,34.0,0.0,0.0,0.4,Other,2,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
44,0,0.0,0,0.0,88.0,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
45,0,0.0,0,0.0,622.25,0.003030303,0.0,0.2,2,5,1,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
46,0,0.0,0,0.0,222.4,0.017142857,0.0,0.0,Other,1,1,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
48,0,0.0,0,0.0,800.8333333,0.0,0.0,0.0,Other,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
51,0,0.0,0,0.0,265.1666667,0.011111111,0.0,0.2,Other,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
52,0,0.0,0,0.0,29.0,0.0,0.0,1.0,2,4,Other,2,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
53,0,0.0,0,0.0,160.0,0.0,0.0,0.0,Other,2,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
57,4,56.0,2,120.0,998.7416667,0.0,19.44707913,0.2,2,2,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
58,0,0.0,0,0.0,104.0,0.0,0.0,0.4,2,6,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
59,2,16.0,0,0.0,381.6865079,0.011764706,0.0,0.6,2,4,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
60,0,0.0,0,0.0,169.0,0.0,0.0,0.4,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
63,0,0.0,0,0.0,706.5,0.0,0.0,0.0,2,2,Other,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
65,3,87.83333333,0,0.0,798.3333333,0.0,22.9160357,0.8,2,2,3,1,Returning_Visitor,False,True,0,1,0,0,0,0,0,0,0
66,4,44.0,0,0.0,6951.972222,0.002150538,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
68,0,0.0,0,0.0,902.0,0.0,0.0,0.0,2,7,Other,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
71,0,0.0,0,0.0,197.3777778,0.025,0.0,0.0,2,6,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
72,0,0.0,0,0.0,43.0,0.0,0.0,0.4,2,2,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
73,0,0.0,0,0.0,426.6666667,0.0,0.0,0.0,2,4,3,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
74,0,0.0,0,0.0,135.0,0.0,0.0,0.0,2,4,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
75,0,0.0,0,0.0,588.3333333,0.0,0.0,0.0,2,4,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
77,0,0.0,0,0.0,76.0,0.0,0.0,0.6,Other,2,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
80,0,0.0,0,0.0,208.0,0.0,0.0,0.0,Other,1,1,5,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
81,0,0.0,0,0.0,270.0,0.0,0.0,0.8,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
82,0,0.0,0,0.0,39.5,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
83,0,0.0,0,0.0,375.0,0.016666667,0.0,0.0,Other,2,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
87,0,0.0,0,0.0,138.0,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
88,0,0.0,0,0.0,337.5,0.028571429,0.0,0.4,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
89,0,0.0,0,0.0,620.0333333,0.0,0.0,0.0,Other,1,Other,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
90,2,36.0,0,0.0,168.8461538,0.0,0.0,0.4,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
92,0,0.0,0,0.0,52.0,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
93,0,0.0,0,0.0,649.25,0.0,0.0,0.0,2,2,1,5,Other,False,False,0,1,0,0,0,0,0,0,0
94,0,0.0,0,0.0,925.3333333,0.003703704,0.0,0.6,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
95,0,0.0,0,0.0,33.0,0.0,0.0,0.2,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
97,0,0.0,0,0.0,105.0,0.0,0.0,0.6,Other,1,1,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
98,0,0.0,1,0.0,50.0,0.038095238,0.0,0.6,2,4,1,7,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
99,0,0.0,0,0.0,644.2,0.004166667,0.0,0.0,Other,2,3,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
100,3,18.33333333,0,0.0,2635.177778,0.0,0.0,0.4,2,4,1,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
101,4,61.0,0,0.0,607.0,0.0,17.53595893,1.0,Other,1,Other,4,Returning_Visitor,True,True,0,1,0,0,0,0,0,0,0
102,0,0.0,0,0.0,415.0,0.0,0.0,0.4,Other,1,3,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
103,2,31.0,1,16.0,2083.530952,0.0,0.0,0.8,2,2,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
104,3,58.5,0,0.0,281.6666667,0.007058824,0.0,0.0,Other,1,3,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
106,0,0.0,1,0.0,215.0,0.044444444,0.0,0.8,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
110,0,0.0,0,0.0,253.0,0.0,0.0,0.6,2,2,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
113,2,22.0,0,0.0,436.5,0.008,0.0,0.2,2,4,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
114,0,0.0,1,93.0,1045.833333,0.012903226,0.0,0.2,Other,1,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
115,0,0.0,0,0.0,317.8333333,0.0,0.0,0.0,Other,1,1,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
116,0,0.0,0,0.0,1146.333333,0.0,0.0,0.8,Other,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
117,0,0.0,0,0.0,577.0,0.018181818,0.0,0.2,2,2,3,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
118,0,0.0,0,0.0,95.0,0.0,0.0,0.0,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
119,0,0.0,0,0.0,301.5,0.0,0.0,0.0,2,4,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
120,0,0.0,0,0.0,243.0,0.0,0.0,0.0,2,4,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
121,0,0.0,0,0.0,135.5,0.0,0.0,0.6,2,2,1,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
122,0,0.0,2,75.0,442.3333333,0.0,0.0,0.8,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
123,0,0.0,0,0.0,41.0,0.0,0.0,0.0,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
124,0,0.0,0,0.0,292.9,0.028,0.0,0.0,2,4,3,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
126,0,0.0,0,0.0,1238.333333,0.0,0.0,0.4,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
127,0,0.0,0,0.0,225.4666667,0.0,0.0,0.4,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
130,0,0.0,0,0.0,222.0,0.0,0.0,0.0,2,6,1,2,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
131,2,20.0,0,0.0,214.8333333,0.0,0.0,0.0,2,2,1,6,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
133,0,0.0,0,0.0,2017.166667,0.0,0.0,0.8,2,2,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
134,6,111.5,0,0.0,449.0277778,0.0,0.0,0.6,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
135,0,0.0,0,0.0,158.1666667,0.0,0.0,0.0,Other,2,Other,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
136,0,0.0,0,0.0,303.6666667,0.005555556,0.0,0.0,2,4,Other,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
137,0,0.0,0,0.0,25.0,0.0,0.0,0.0,2,4,1,5,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
139,4,103.625,0,0.0,1003.416667,0.0,0.0,0.2,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
141,0,0.0,0,0.0,272.5,0.0,0.0,0.2,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
142,3,19.0,0,0.0,344.0,0.0,0.0,0.0,2,4,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
144,0,0.0,1,19.0,852.0,0.0,0.0,0.0,2,2,3,6,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
146,0,0.0,0,0.0,1038.0,0.0,0.0,0.0,2,2,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
147,0,0.0,0,0.0,573.0,0.0,0.0,0.0,2,2,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
148,0,0.0,0,0.0,1231.233333,0.007142857,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
149,0,0.0,0,0.0,316.6666667,0.0,0.0,0.8,2,2,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
150,0,0.0,0,0.0,873.7365079,0.0075,0.0,0.0,Other,2,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
153,0,0.0,0,0.0,615.0,0.0,0.0,0.2,2,2,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
154,0,0.0,0,0.0,261.75,0.0,0.0,0.0,2,6,1,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
155,0,0.0,0,0.0,615.8831169,0.033333333,0.0,0.0,Other,2,Other,1,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
157,0,0.0,0,0.0,117.5,0.0,0.0,0.8,Other,1,1,3,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
160,0,0.0,0,0.0,501.6666667,0.008695652,0.0,0.6,Other,1,Other,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
161,2,58.0,2,22.0,829.1666667,0.03030303,0.0,0.0,Other,1,1,1,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
162,1,9.5,0,0.0,1223.0,0.015217391,0.0,0.0,Other,1,1,2,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
163,0,0.0,0,0.0,467.0,0.0,0.0,0.4,Other,1,3,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
164,0,0.0,0,0.0,737.1666667,0.008695652,0.0,0.6,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
165,0,0.0,0,0.0,129.0,0.0,0.0,0.0,Other,1,3,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
166,0,0.0,0,0.0,63.0,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
168,0,0.0,0,0.0,684.3333333,0.018181818,0.0,0.0,2,4,Other,1,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
169,0,0.0,0,0.0,665.4722222,0.0,0.0,0.8,Other,2,Other,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
170,1,0.0,0,0.0,487.5,0.0,0.0,0.8,Other,1,Other,4,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
171,0,0.0,0,0.0,437.1666667,0.011111111,0.0,0.0,2,4,1,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
174,5,41.3,0,0.0,446.9277778,0.0,0.0,1.0,2,2,Other,1,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
175,3,87.0,0,0.0,320.5,0.0,0.0,0.0,Other,1,Other,3,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
176,0,0.0,0,0.0,666.0,0.0,0.0,0.0,Other,1,Other,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
177,1,0.0,0,0.0,405.7095238,0.010743802,0.0,0.0,Other,1,1,4,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
179,0,0.0,0,0.0,163.25,0.033333333,0.0,0.6,Other,1,Other,2,Returning_Visitor,False,False,0,1,0,0,0,0,0,0,0
180,0,0.0,0,0.0,284.25,0.0,0.0,0.0,Other,2,Other,2,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
183,0,0.0,0,0.0,260.0,0.008333333,0.0,0.8,Other,2,1,3,Returning_Visitor,True,False,0,1,0,0,0,0,0,0,0
184,0,0.0,16,1210.397619,279.8571429,0.003174603,0.0,0.0,2,2,1,8,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
185,0,0.0,0,0.0,927.45,0.011111111,8.000740741,0.0,Other,1,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
186,2,9.0,0,0.0,836.8,0.0,0.0,0.0,2,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
188,9,111.5,1,48.5,1868.819697,0.0,1.706014966,0.0,2,2,Other,2,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
189,3,47.0,1,51.0,3008.124108,0.007142857,46.53017511,0.0,2,2,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
192,3,52.0,0,0.0,319.0,0.0,0.0,0.0,Other,1,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
193,0,0.0,0,0.0,42.0,0.0,0.0,0.0,2,2,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
194,0,0.0,0,0.0,354.3333333,0.009090909,0.0,0.0,Other,1,Other,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
195,0,0.0,0,0.0,3556.61241,0.002061856,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
196,2,56.0,1,144.0,2563.783333,0.0,19.34265017,0.0,2,2,Other,2,Other,False,True,0,0,0,0,1,0,0,0,0
197,3,112.9607843,0,0.0,3014.018519,0.013068182,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
198,0,0.0,0,0.0,840.2333333,0.0,109.176,0.0,2,2,Other,2,Other,False,True,0,0,0,0,1,0,0,0,0
199,3,94.0,2,125.0,1970.844805,0.0,96.25511582,0.0,2,4,1,2,Other,True,True,0,0,0,0,1,0,0,0,0
200,1,32.0,0,0.0,2867.0,0.0,153.4432478,0.0,2,2,Other,8,Returning_Visitor,True,True,0,0,0,0,1,0,0,0,0
201,0,0.0,0,0.0,43.0,0.0,0.0,0.0,Other,1,1,9,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
203,0,0.0,0,0.0,133.5,0.0,0.0,0.0,Other,2,1,8,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
204,1,119.0,0,0.0,297.6666667,0.0,0.0,0.0,Other,2,1,10,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
206,1,18.0,0,0.0,1331.75,0.0,33.79956701,0.0,2,5,Other,3,Other,False,True,0,0,0,0,1,0,0,0,0
207,2,40.0,0,0.0,558.5,0.0,0.0,0.0,2,2,Other,2,Other,True,False,0,0,0,0,1,0,0,0,0
208,3,107.0,0,0.0,145.8333333,0.0,0.0,0.0,Other,2,Other,1,Other,False,False,0,0,0,0,1,0,0,0,0
209,0,0.0,0,0.0,731.0,0.0,0.0,0.0,2,4,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
210,2,49.0,1,127.0,188.0,0.033333333,0.0,0.0,Other,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
211,0,0.0,0,0.0,565.3333333,0.037619048,0.0,0.0,2,6,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
212,0,0.0,0,0.0,50.0,0.0,0.0,0.0,Other,2,Other,11,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
213,4,57.0,0,0.0,591.0,0.006666667,0.0,0.0,Other,2,Other,6,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
214,2,2.0,3,261.0,281.0,0.0,0.0,0.0,2,2,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
215,2,123.0,2,306.3333333,483.8333333,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
216,2,118.0,0,0.0,42.0,0.0,0.0,0.0,Other,2,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
217,0,0.0,0,0.0,1192.386111,0.005714286,0.0,0.0,2,4,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
218,0,0.0,0,0.0,198.0,0.016666667,0.0,0.0,2,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
219,0,0.0,0,0.0,15.0,0.0,0.0,0.0,2,4,3,12,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
220,2,38.0,0,0.0,643.0,0.0,35.0928,0.0,2,2,Other,1,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
223,1,54.0,0,0.0,210.5,0.0,0.0,0.0,2,2,1,8,Other,False,False,0,0,0,0,1,0,0,0,0
225,0,0.0,0,0.0,19.0,0.0,0.0,0.0,2,2,3,11,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
226,5,74.25,2,84.0,1599.083333,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
227,0,0.0,0,0.0,102.5,0.0,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
228,0,0.0,0,0.0,2337.0,0.0,17.76266667,0.0,2,2,1,1,Returning_Visitor,False,True,0,0,0,0,1,0,0,0,0
229,0,0.0,0,0.0,1883.5,0.010526316,0.0,0.0,2,2,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
230,2,32.0,0,0.0,1245.3,0.004,7.146260888,0.0,2,2,Other,9,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
232,0,0.0,0,0.0,132.0,0.011111111,0.0,0.0,Other,1,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
233,1,73.0,1,740.0,1434.255128,0.0,22.03276923,0.0,2,2,3,2,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
234,2,154.0,0,0.0,367.25,0.005263158,0.0,0.0,Other,2,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
235,3,49.33333333,5,303.25,148.5,0.0,0.0,0.0,Other,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
236,3,118.5,0,0.0,1482.210784,0.006896552,0.0,0.0,Other,2,1,8,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
237,6,153.5,0,0.0,1048.492063,0.011578947,0.0,0.0,2,6,1,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
238,0,0.0,0,0.0,478.0,0.0,0.0,0.0,Other,2,Other,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
239,0,0.0,0,0.0,980.25,0.0,0.0,0.0,2,2,Other,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
240,8,72.25,1,21.5,1124.693074,0.022807018,0.0,0.0,2,2,Other,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
241,2,24.5,0,0.0,353.1666667,0.018181818,0.0,0.0,2,5,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
242,1,0.0,0,0.0,1489.083333,0.023529412,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
243,0,0.0,1,1220.0,2389.333333,0.016666667,0.0,0.0,2,2,1,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
244,0,0.0,0,0.0,753.0,0.0,0.0,0.0,2,10,1,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
245,0,0.0,0,0.0,688.1666667,0.0,0.0,0.0,Other,1,1,3,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
246,0,0.0,0,0.0,811.0,0.015384615,0.0,0.0,2,2,Other,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
247,1,22.0,0,0.0,415.25,0.033333333,0.0,0.0,Other,3,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
249,1,21.33333333,1,235.0,2753.378571,0.012676056,0.0,0.0,Other,2,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
250,2,191.0,1,100.0,2452.582143,0.007246377,0.0,0.0,Other,2,Other,3,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
251,0,0.0,0,0.0,5188.5,0.0,0.0,0.0,2,5,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
254,0,0.0,0,0.0,8.0,0.0,0.0,0.0,2,2,Other,1,Returning_Visitor,True,False,0,0,0,0,1,0,0,0,0
255,4,96.5,0,0.0,1430.659091,0.01,0.0,0.0,Other,1,1,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
256,1,13.0,0,0.0,20.0,0.0,0.0,0.0,Other,2,3,2,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
258,0,0.0,0,0.0,844.25,0.0,0.0,0.0,Other,1,3,1,Returning_Visitor,False,False,0,0,0,0,1,0,0,0,0
