"","Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated_Duration","BounceRates","PageValues","SpecialDay","Browser","TrafficType","Month_Dec","Month_Feb","Month_Jul","Month_June","Month_Mar","Month_May","Month_Nov","Month_Oct","Month_Sep","OperatingSystems_Other","Region_1","Region_3","VisitorType_Other","Weekend_True","Revenue_True"
"5484",0,0,0,0,157,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"6210",0,0,2,89,5728.673611,0.003409759,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
"7791",0,0,0,0,1293.083333,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"0"
"8949",0,0,0,0,701.8032468,0,61.07207396,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"1"
"5786",0,0,0,0,232.4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"0"
"812",0,0,0,0,434.5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"7173",1,0,0,0,94.75,0,0,0,2,20,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"0"
"305",0,0,0,0,236,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0"
"3386",3,53,0,0,2461.25,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"0"
"1292",0,0,0,0,1533,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"6021",2,124.4,2,7,294.6,0,0,0,2,11,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"0"
"9301",4,140.5833333,2,385,1609.990079,0.003571429,7.209305119,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
"5140",3,55.05,0,0,4916.583333,0.013636364,20.08902391,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"7853",0,0,0,0,348.4333333,0.028571429,0,0,8,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"1"
"226",0,0,0,0,872.8333333,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"0"
"6327",2,123.75,0,0,938.3333333,0.01,218.3951915,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"0"
"8632",0,0,3,321,916.625,0.006617647,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"5672",3,145.2,0,0,1646.366667,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"0"
"87",0,0,0,0,135.5,0,0,0.6,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"2665",4,75.6,0,0,1576.205078,0.010752688,0,0.6,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0"
"1269",5,73.5,0,0,463.7583333,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"0"
"4855",1,0,3,69,352.875,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
"2478",3,42,0,0,706,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"0"
"3442",1,18,0,0,1122.583333,0.027407407,15.9468,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"1"
"4552",0,0,0,0,328.9,0.015384615,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0"
"6258",4,47.5,0,0,839.2083333,0.005263158,12.96520279,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"1"
"235",0,0,0,0,75,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,"0"
"1451",3,18.75,0,0,68.75,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"0"
"7495",0,0,0,0,140.4583333,0.028571429,0,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"3093",8,149.5,0,0,2598.991667,0.003278689,48.72995628,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"0"
"8452",0,0,0,0,1607.191667,0,5.157803677,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,"1"
"1820",4,92.25,1,0,1506.220833,0,8.011553351,0.4,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"1"
"8948",0,0,0,0,199.5,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"0"
"1351",1,6,0,0,608.8333333,0.011764706,52.70052142,0,2,11,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"1"
"8738",0,0,0,0,89,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"0"
"5155",1,78.6,0,0,744.8,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,"0"
"6550",0,0,0,0,480.6055556,0.028,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"0"
"2237",1,3,0,0,884.3357143,0.001086957,18.12446087,0,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"5209",4,76.8,0,0,2050.292399,0.010055755,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
"3451",2,17,2,23,2218.276547,0.018,5.185165143,0.8,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"0"
"2691",2,13.33333333,0,0,2062.443592,0.01220527,0,0.6,2,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"203",1,10,0,0,348.6666667,0.035714286,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"0"
"5103",0,0,0,0,4157.633333,0.01,0,0,2,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0"
"1584",0,0,0,0,87.71428571,0.042857143,0,0,2,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"6584",5,72.5,0,0,2429.8125,0,102.4922188,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"6054",3,139,0,0,631.9333333,0.005263158,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,"0"
"6168",3,29.75,0,0,398.9803922,0,50.51764193,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"1"
"8037",8,131.9642857,7,1039.166667,1407.446429,0.000533333,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"8598",0,0,1,117,404,0.025,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"8811",0,0,0,0,182.25,0.046153846,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"3677",5,60,1,0,647.6666667,0.016666667,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"0"
"3518",0,0,0,0,697.1666667,0,0,0.6,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"3189",0,0,0,0,624.6248956,0,0,0.8,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"9091",0,0,0,0,124.75,0,0,0,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0"
"4331",0,0,2,38.2,873,0.01,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"0"
"8912",2,27.25,0,0,219.25,0,75.50833257,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"1381",0,0,0,0,115,0,0,0,3,9,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"0"
"1790",0,0,0,0,248.9,0,0,0.8,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"0"
"2338",0,0,0,0,1474.5,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"4964",7,155,0,0,252.9833333,0.008333333,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"0"
"3547",3,96,0,0,565,0,0,0,2,14,0,0,0,0,0,1,0,0,0,1,0,0,1,1,"0"
"268",9,79,1,155.5,1743.066667,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"277",0,0,0,0,226.8333333,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"0"
"4643",4,69.96666667,0,0,2728.755,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"0"
"2601",0,0,0,0,657.6666667,0.013636364,0,0.8,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"732",0,0,0,0,161.3333333,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"8493",0,0,0,0,524,0,45.4642609,0,4,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"1"
"5650",1,45.4,0,0,114.9,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"0"
"1933",0,0,0,0,462,0.0125,0,0,1,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"4450",7,94.84,0,0,1487.229317,0.004545455,0,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"0"
"6825",5,107,0,0,777.2125,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"0"
"9142",0,0,0,0,593.75,0,92.9394993,0,8,11,0,0,0,0,0,0,1,0,0,1,0,1,0,1,"1"
"4998",8,85.48223443,1,5.5,3818.308629,0.007264957,0.154821253,0,2,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"0"
"1226",0,0,0,0,48,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"0"
"1349",0,0,0,0,1011,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0"
"8950",1,32.25,0,0,434.5833333,0.011764706,0,0,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"0"
"5148",2,70.6,0,0,2244.416667,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0"
"5262",2,68.6,0,0,184.6,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"0"
"6784",0,0,0,0,305.5,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
"3476",0,0,0,0,1137,0.04,0,0.8,2,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"0"
"8303",2,18,0,0,1550.916667,0.016,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"0"
"5853",3,40.8,1,12,96,0.028571429,0,0,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"0"
"4228",1,45.4,0,0,352.7,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"0"
"3468",4,155,0,0,3086.398654,0.000287356,0,0.4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"8731",0,0,0,0,225.5,0.018181818,0,0,5,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"8826",3,50,5,248.75,1034.3125,0.013043478,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"0"
"7270",0,0,0,0,4022,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0"
"8285",7,104.45,0,0,1242.661699,0.011911765,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"9321",1,0,2,23.75,6784.671131,0.004931973,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"1"
"2153",0,0,0,0,440.6666667,0.015789474,0,0.4,5,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"0"
"9210",0,0,0,0,1119.543056,0.005454545,0,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"0"
"1233",3,32,0,0,453.625,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,"0"
"7370",1,113.75,0,0,1905.078571,0.022666667,11.70614611,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"1"
"1882",3,131.75,0,0,1701.857143,0.0032,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0"
"6440",6,110.5,1,20,5380.686996,0.005517241,1.963592426,0,4,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"1"
"4171",1,12,0,0,493.3033901,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0"
"8430",1,12,2,11,974.1666667,0.005454545,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,"0"
"9152",9,164.3333333,0,0,4227.094444,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"0"
"3817",0,0,0,0,77,0,0,0.6,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"3575",0,0,0,0,1889.7,0.005747126,0,0.6,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"2954",5,86.16666667,1,13,1546.503822,0.015577078,9.139760775,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,"0"
"1356",2,77.5,0,0,598.7833333,0,0,0,2,9,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"0"
"7285",0,0,0,0,1434.908333,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"0"
"2651",0,0,0,0,720.5,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0"
"9264",0,0,0,0,586,0,0,0,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"0"
"8279",5,100,0,0,137.25,0.02,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,1,1,0,"0"
"153",0,0,0,0,565.3333333,0.037619048,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0"
"5497",4,77.1,0,0,41.7,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"0"
"6647",1,52.5,0,0,812.875,0,0,0,3,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"0"
"1040",1,4,0,0,1418.5,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"0"
"8396",0,0,0,0,181.5,0,0,0,1,6,1,0,0,0,0,0,0,0,0,1,1,0,0,1,"0"
"3527",5,115.1111111,2,146,3639.737302,0.000217391,5.159462207,0.8,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"6759",0,0,0,0,795.3611111,0.041269841,0,0,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"0"
"2935",5,37,1,16,463.5,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"2745",1,41,0,0,1018,0,54.21806897,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"1"
"352",0,0,1,132,445,0,0,0,2,14,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"0"
"3588",0,0,0,0,460,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"0"
"1551",0,0,0,0,445,0.047058824,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"5476",9,179.4533333,7,277.6333333,829.1871429,0.002325581,9.098216282,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"0"
"1956",1,47.16666667,1,3,1462.659125,0.004651163,7.734903101,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1"
"660",0,0,0,0,203.15,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"2258",0,0,0,0,1192.317857,0.006410256,0,0,6,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"3552",1,174,0,0,272,0.013333333,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"0"
"3100",0,0,1,0,1115.459524,0.007843137,0,0,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"0"
"8315",0,0,0,0,2997.083333,0.004878049,36.8670177,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"0"
"6956",3,34.25,2,17,2335.125,0.0015625,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"0"
"6510",0,0,0,0,231.75,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"0"
"1306",8,183,4,571.5,333.6,0,15.43344,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,"1"
"6513",0,0,0,0,909.75,0.022222222,0,0,2,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"0"
"935",0,0,0,0,4346.541667,0.003070175,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"0"
"602",0,0,0,0,574.5333333,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0"
"9309",0,0,0,0,1134.455556,0,30.30681247,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
"8140",0,0,0,0,1766.833333,0.023015873,0,0,2,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
"706",0,0,0,0,465.5,0.006666667,43.79717364,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0"
"3678",0,0,0,0,59,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"3472",0,0,0,0,553.5,0,35.98,0,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"1"
"2537",1,32,0,0,455,0,18.65333333,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"1"
"359",0,0,3,57,4547.166667,0.012903226,8.682741935,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"4968",0,0,0,0,1076.65,0.023809524,10.7869918,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
"632",1,0,1,0,708.5333333,0,54.85543,0,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0"
"1005",2,63,0,0,850.3333333,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,"0"
"7439",0,0,0,0,2110.124603,0,62.93549178,0,2,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1"
"2842",2,46,0,0,195,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0"
"9384",0,0,3,33.75,313.9285714,0.033333333,0,0,2,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0"
"6556",0,0,0,0,85.75,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
"9061",1,100,0,0,246.1666667,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"0"
"3582",0,0,0,0,450.8333333,0.04375,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"4185",0,0,0,0,86.53333333,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"0"
"6088",4,64.66666667,0,0,1445.666667,0,52.11335786,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"1"
"91",0,0,0,0,1238.333333,0,0,0.4,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"5687",0,0,0,0,472.4333333,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"0"
"857",0,0,0,0,1129,0.00952381,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"8081",0,0,0,0,4894.851299,0.002682927,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"1"
